Unnamed: 0,set_export_cert,set_export_cert_num,set_export_cert_date,set_export_item,set_export_quant,set_export_weight,set_ica_letter,set_import_cert,set_import_cert_date,set_import_item,set_import_quant,set_import_unit,set_quantity_used,set_sheet_name,imp_certificate,imp_supplier_name,imp_weight,imp_weight_unit,imp_quantity,imp_quantity_unit,imp_customs_system,imp_origin,imp_shipping_port,imp_port_entry_date,imp_certificate_date,imp_factory_entry_date,imp_container_packages,imp_container_type,imp_container_package_count,imp_port_stay_duration,imp_release_time,imp_inspection_rate,imp_inspection_type,imp_item_type,imp_invoice_value_usd,imp_final_value,imp_exchange_rate,imp_converted_invoice_value,imp_invoice_final_value_difference,imp_guarantee_type,imp_guarantee_value,imp_guarantee_submission_date,imp_window_fees,imp_customs_fees_and_taxes,imp_branching,imp_unofficial_clearance_fees,imp_ground_fees,imp_additional_ground_fees_usd,imp_avg_black_market_usd_rate,imp_additional_ground_fees_egp,imp_other_receipts,imp_total_collected_value_egp,imp_shipping_line,imp_display_entities,imp_display_entity_count,imp_display_entity_cost,imp_display_entity_time,imp_transportation,imp_total_paid,imp_shipping_type,imp_port_airport,imp_shipping_terms,exp_Unnamed: 0,exp_cert,exp_item_count,exp_items,exp_qty_per_piece,exp_avg_price_per_piece,exp_currency,exp_source_name,exp_net_weight_actual,exp_customs_system,exp_destination_country,exp_port_of_loading,exp_invoice_date,exp_entry_date,exp_Column1,exp_movement_visa_date,exp_inspection_result,exp_item_type,exp_invoice_value_actual,exp_shipment_type,exp_shipping_terms,exp_product_type,exp_country_group,exp_cert_num,imp_total_release_time
0,1310,1310_1,11-04-2023,"بولو شيرت رجالى "" مطرز "" 97  % قطن 3 % ليكرا",1376,335.0,9/546,345355,2022-09-19 00:00:00,RUCOWET VGO,14024.98,كجم,1.1725,Sheet1,345355,Rudolf,25397.6,كيلو جرام,196,برميل,سماح مؤقت,Germany,Hamburg,2022-09-16,2022-09-19,2022-09-28,Container,40.0,1,12,9,1.0,Red B,dyes,82994.99,1633500.0,19.5,1618402.305,15097.69499999983,منشأة,180000,2022-09-19 00:00:00,6011.8,16446.5,13106.0,3125,5026.0,0.0,0.0,0.0,7125,230840.3,MSC Egypt,زراعة-مخابرات,2,700,1,8600,240140.3,Sea,Alexandria,CIF,0,1310,3,"بولو شيرت رجالى "" مطرز "" 97  % قطن 3 % ليكرا",1376,10.6,usd,شركة جيزة للغزل والنسيج,335.0,سماح مؤقت,الهند,Cairo Airport,2023-04-30 00:00:00,2023-04-11,,2023-07-13,2023-05-01,ملابس جاهزة,14585.6,air,FOB,Shirt,Asia,1310_1,21
1,1310,1310_2,11-04-2023,"تى شيرت رجالى "" مطبوع "" مطرز "" 100 % قطن",695,169.0,9/546,179982,15/05/2022,GENCEL HEBPL CONC LIQUID,12706.5,كجم,1.25,Sheet1,179982,Rossari Biotech Limted,15316.7,كيلو جرام,14400,كيلو جرام,سماح مؤقت,India,Hazira,2022-05-07,2022-05-15,2022-05-21,Container,20.0,1,14,6,1.0,Red,dyes,44641.0,800000.0,17.0,758897.0,41103.0,منشأة,70000,2022-05-16 00:00:00,3393.65,8578.7,941.0,2325,5637.63,605.0,18.0,10890.0,431,102196.98,MSC,مخدرات- كيمياء,2,4075,0,8500,114771.98,Sea,Ain Sokhna,CIF,1,1310,3,"تى شيرت رجالى "" مطبوع "" مطرز "" 100 % قطن",695,6.65,usd,شركة جيزة للغزل والنسيج,169.0,سماح مؤقت,الهند,Cairo Airport,2023-04-30 00:00:00,2023-04-11,,2023-07-13,2023-05-01,ملابس جاهزة,28618.82,air,FOB,Shirt,Asia,1310_2,20
2,1310,1310_2,11-04-2023,"تى شيرت رجالى "" مطبوع "" مطرز "" 100 % قطن",695,169.0,9/546,331874,08/09/2022,ULTROX RJK LIQUID,11300.62,كجم,3.75,Sheet1,331874,Rossari Biotech Limted,14256.0,كيلو جرام,13500,كيلو جرام,سماح مؤقت,India,Hazira,2022-09-06,2022-09-08,2022-09-26,Container,20.0,1,20,18,1.0,Red,dyes,23625.0,465525.144,19.3184,456397.2,9127.94399999996,منشأة,60000,2022-09-18 00:00:00,257.1,5235.25,16381.3024,2075,11254.0,0.0,0.0,0.0,1285,96487.65239999999,MSC,مخابرات -  زراعة-  كيمياء- مفرقعات,4,3205,10,8300,107992.6524,Sea,Ain Sokhna,CIF,1,1310,3,"تى شيرت رجالى "" مطبوع "" مطرز "" 100 % قطن",695,6.65,usd,شركة جيزة للغزل والنسيج,169.0,سماح مؤقت,الهند,Cairo Airport,2023-04-30 00:00:00,2023-04-11,,2023-07-13,2023-05-01,ملابس جاهزة,28618.82,air,FOB,Shirt,Asia,1310_2,38
3,1310,1310_2,11-04-2023,"تى شيرت رجالى "" مطبوع "" مطرز "" 100 % قطن",695,169.0,9/546,334149,11/09/2022,ELASTOSIL -KHD,18000.0,كجم,4.6875,Sheet1,334149,Avco,19080.0,كيلو جرام,18000,كيلو جرام,سماح مؤقت,Israel,Ashdod,2022-08-25,2022-09-11,2022-09-19,Container,20.0,1,25,8,1.0,Red B,dyes,42480.0,829500.0,19.35,821988.0000000001,7511.999999999884,منشأة,95000,2022-09-12 00:00:00,3592.15,8906.5,7207.6,3475,10138.59,589.5,19.0,11200.5,1780,141300.34,B&G,زراعة-مخابرات,2,700,7,8650,150650.34,Sea,Alexandria,CIF,1,1310,3,"تى شيرت رجالى "" مطبوع "" مطرز "" 100 % قطن",695,6.65,usd,شركة جيزة للغزل والنسيج,169.0,سماح مؤقت,الهند,Cairo Airport,2023-04-30 00:00:00,2023-04-11,,2023-07-13,2023-05-01,ملابس جاهزة,28618.82,air,FOB,Shirt,Asia,1310_2,33
4,1310,1310_2,11-04-2023,"تى شيرت رجالى "" مطبوع "" مطرز "" 100 % قطن",695,169.0,9/546,345355,2022-09-19 00:00:00,RUCOWET VGO,14024.98,كجم,2.1875,Sheet1,345355,Rudolf,25397.6,كيلو جرام,196,برميل,سماح مؤقت,Germany,Hamburg,2022-09-16,2022-09-19,2022-09-28,Container,40.0,1,12,9,1.0,Red B,dyes,82994.99,1633500.0,19.5,1618402.305,15097.69499999983,منشأة,180000,2022-09-19 00:00:00,6011.8,16446.5,13106.0,3125,5026.0,0.0,0.0,0.0,7125,230840.3,MSC Egypt,زراعة-مخابرات,2,700,1,8600,240140.3,Sea,Alexandria,CIF,1,1310,3,"تى شيرت رجالى "" مطبوع "" مطرز "" 100 % قطن",695,6.65,usd,شركة جيزة للغزل والنسيج,169.0,سماح مؤقت,الهند,Cairo Airport,2023-04-30 00:00:00,2023-04-11,,2023-07-13,2023-05-01,ملابس جاهزة,28618.82,air,FOB,Shirt,Asia,1310_2,21
5,1310,1310_2,11-04-2023,"تى شيرت رجالى "" مطبوع "" مطرز "" 100 % قطن",695,169.0,9/546,345355,2022-09-19 00:00:00,RUCOGAL RLC,2635.55,كجم,3.75,Sheet1,345355,Rudolf,25397.6,كيلو جرام,196,برميل,سماح مؤقت,Germany,Hamburg,2022-09-16,2022-09-19,2022-09-28,Container,40.0,1,12,9,1.0,Red B,dyes,82994.99,1633500.0,19.5,1618402.305,15097.69499999983,منشأة,180000,2022-09-19 00:00:00,6011.8,16446.5,13106.0,3125,5026.0,0.0,0.0,0.0,7125,230840.3,MSC Egypt,زراعة-مخابرات,2,700,1,8600,240140.3,Sea,Alexandria,CIF,1,1310,3,"تى شيرت رجالى "" مطبوع "" مطرز "" 100 % قطن",695,6.65,usd,شركة جيزة للغزل والنسيج,169.0,سماح مؤقت,الهند,Cairo Airport,2023-04-30 00:00:00,2023-04-11,,2023-07-13,2023-05-01,ملابس جاهزة,28618.82,air,FOB,Shirt,Asia,1310_2,21
6,1310,1310_2,11-04-2023,"تى شيرت رجالى "" مطبوع "" مطرز "" 100 % قطن",695,169.0,9/546,345355,2022-09-19 00:00:00,HYDROCOL SUN 200,4339.28,كجم,1.875,Sheet1,345355,Rudolf,25397.6,كيلو جرام,196,برميل,سماح مؤقت,Germany,Hamburg,2022-09-16,2022-09-19,2022-09-28,Container,40.0,1,12,9,1.0,Red B,dyes,82994.99,1633500.0,19.5,1618402.305,15097.69499999983,منشأة,180000,2022-09-19 00:00:00,6011.8,16446.5,13106.0,3125,5026.0,0.0,0.0,0.0,7125,230840.3,MSC Egypt,زراعة-مخابرات,2,700,1,8600,240140.3,Sea,Alexandria,CIF,1,1310,3,"تى شيرت رجالى "" مطبوع "" مطرز "" 100 % قطن",695,6.65,usd,شركة جيزة للغزل والنسيج,169.0,سماح مؤقت,الهند,Cairo Airport,2023-04-30 00:00:00,2023-04-11,,2023-07-13,2023-05-01,ملابس جاهزة,28618.82,air,FOB,Shirt,Asia,1310_2,21
7,1310,1310_2,11-04-2023,"تى شيرت رجالى "" مطبوع "" مطرز "" 100 % قطن",695,169.0,9/546,343105,2022-09-17 00:00:00,IMPROLUBE AD,2982.87,كجم,15.625,Sheet1,343105,B&E International Ltd,15500.0,كيلو جرام,14500,كيلو جرام,سماح مؤقت,Israel,Ashdod,2022-09-08,2022-09-17,2022-09-28,Container,20.0,1,20,11,1.0,Red B,dyes,27375.0,540700.0,19.46,532717.5,7982.5,منشأة,65000,2022-09-17 00:00:00,4398.7,6018.5,7085.0,4025,6972.24,793.1,19.0,15068.9,645,109213.34,B&G,زراعة-مخابرات,2,4310,2,8700,122223.34,Sea,Alexandria,CIF,1,1310,3,"تى شيرت رجالى "" مطبوع "" مطرز "" 100 % قطن",695,6.65,usd,شركة جيزة للغزل والنسيج,169.0,سماح مؤقت,الهند,Cairo Airport,2023-04-30 00:00:00,2023-04-11,,2023-07-13,2023-05-01,ملابس جاهزة,28618.82,air,FOB,Shirt,Asia,1310_2,31
8,1310,1310_3,11-04-2023,"تى شيرت رجالى "" مطرز "" 100 % قطن",1873,456.0,9/546,179982,15/05/2022,GENCEL HEBPL CONC LIQUID,12706.5,كجم,1.25,Sheet1,179982,Rossari Biotech Limted,15316.7,كيلو جرام,14400,كيلو جرام,سماح مؤقت,India,Hazira,2022-05-07,2022-05-15,2022-05-21,Container,20.0,1,14,6,1.0,Red,dyes,44641.0,800000.0,17.0,758897.0,41103.0,منشأة,70000,2022-05-16 00:00:00,3393.65,8578.7,941.0,2325,5637.63,605.0,18.0,10890.0,431,102196.98,MSC,مخدرات- كيمياء,2,4075,0,8500,114771.98,Sea,Ain Sokhna,CIF,2,1310,3,"تى شيرت رجالى "" مطرز "" 100 % قطن",1873,5.75,usd,شركة جيزة للغزل والنسيج,456.0,سماح مؤقت,الهند,Cairo Airport,2023-04-30 00:00:00,2023-04-11,,2023-07-13,2023-05-01,ملابس جاهزة,10769.75,air,FOB,Shirt,Asia,1310_3,20
9,1310,1310_3,11-04-2023,"تى شيرت رجالى "" مطرز "" 100 % قطن",1873,456.0,9/546,331874,08/09/2022,ULTROX RJK LIQUID,11300.62,كجم,3.75,Sheet1,331874,Rossari Biotech Limted,14256.0,كيلو جرام,13500,كيلو جرام,سماح مؤقت,India,Hazira,2022-09-06,2022-09-08,2022-09-26,Container,20.0,1,20,18,1.0,Red,dyes,23625.0,465525.144,19.3184,456397.2,9127.94399999996,منشأة,60000,2022-09-18 00:00:00,257.1,5235.25,16381.3024,2075,11254.0,0.0,0.0,0.0,1285,96487.65239999999,MSC,مخابرات -  زراعة-  كيمياء- مفرقعات,4,3205,10,8300,107992.6524,Sea,Ain Sokhna,CIF,2,1310,3,"تى شيرت رجالى "" مطرز "" 100 % قطن",1873,5.75,usd,شركة جيزة للغزل والنسيج,456.0,سماح مؤقت,الهند,Cairo Airport,2023-04-30 00:00:00,2023-04-11,,2023-07-13,2023-05-01,ملابس جاهزة,10769.75,air,FOB,Shirt,Asia,1310_3,38
