,set_export_cert,set_export_cert_date,set_ica_letter,set_import_cert,set_import_cert_date,set_import_unit,set_quantity_used,set_import_quant,exp_cert,exp_product_type,exp_destination_country,exp_port_of_loading,exp_shipment_type,exp_country_group,exp_entry_date,exp_movement_visa_date,exp_invoice_date,exp_inspection_result,exp_item_count,exp_qty_per_piece,exp_avg_price_per_piece,exp_net_weight_actual,exp_invoice_value_actual,imp_certificate,imp_supplier_name,imp_weight,imp_quantity,imp_quantity_unit,imp_customs_system,imp_origin,imp_shipping_port,imp_port_entry_date,imp_certificate_date,imp_factory_entry_date,imp_container_packages,imp_container_type,imp_container_package_count,imp_port_stay_duration,imp_release_time,imp_inspection_rate,imp_inspection_type,imp_item_type,imp_invoice_value_usd,imp_final_value,imp_exchange_rate,imp_converted_invoice_value,imp_invoice_final_value_difference,imp_guarantee_type,imp_guarantee_value,imp_guarantee_submission_date,imp_window_fees,imp_customs_fees_and_taxes,imp_unloading,imp_unofficial_clearance_fees,imp_ground_fees,imp_additional_ground_fees_usd,imp_avg_black_market_usd_rate,imp_additional_ground_fees_egp,imp_other_receipts,imp_total_collected_value_egp,imp_shipping_line,imp_display_entities,imp_display_entity_count,imp_display_entity_cost,imp_display_entity_time,imp_transportation,imp_total_paid,imp_shipping_type,imp_port_airport,imp_shipping_terms,imp_factory_entry_month,imp_factory_entry_year,display_intelligence,display_agriculture,display_chemistry,display_explosives,display_xray,display_drugs,display_printed_materials
0,1310,2023-11-04,9/546,179982,2022-05-15,kg,1.25,25413.0,1310,Shirt,India,Cairo Airport,air,Asia,2023-04-11,2023-07-13,2023-04-30,2023-05-01,9,3944,7.666666666666667,960.0,53974.17,179982,Rossari Biotech Limted,15316.7,14400,kg,سماح مؤقت,India,India,2022-05-07,2022-05-15,2022-05-21,Container,20.0,1.0,14,6,1.0,Red,dyes,44641.0,800000.0,17.0,758897.0,41103.0,Facility,70000.0,2022-05-16 00:00:00,3393.65,8578.7,941.0,2325.0,5637.63,605.0,18.0,10890.0,431.0,102196.98,MSC,مخدرات- كيمياء,2.0,4075.0,7.0,8500,114771.98,Sea,Ain Sokhna,CIF,5,2022,0,0,1,0,0,1,0
1,1310,2023-11-04,9/546,331874,2022-08-09,kg,3.75,22601.24,1310,Shirt,India,Cairo Airport,air,Asia,2023-04-11,2023-07-13,2023-04-30,2023-05-01,9,3944,7.666666666666667,960.0,53974.17,331874,Rossari Biotech Limted,14256.0,13500,kg,سماح مؤقت,India,India,2022-09-06,2022-09-08,2022-09-26,Container,20.0,1.0,20,18,1.0,Red,dyes,23625.0,465525.144,19.3184,456397.2,9127.94399999996,Facility,60000.0,2022-09-18 00:00:00,257.1,5235.25,16381.3024,2075.0,11254.0,0.0,19.0,0.0,1285.0,96487.65239999999,MSC,مخابرات -  زراعة-  كيمياء- مفرقعات,4.0,3205.0,10.0,8300,107992.6524,Sea,Ain Sokhna,CIF,9,2022,1,1,1,1,0,0,0
2,1310,2023-11-04,9/546,334149,2022-11-09,kg,4.6875,36000.0,1310,Shirt,India,Cairo Airport,air,Asia,2023-04-11,2023-07-13,2023-04-30,2023-05-01,9,3944,7.666666666666667,960.0,53974.17,334149,Avco,19080.0,18000,kg,سماح مؤقت,Israel,Ashdod,2022-08-25,2022-09-11,2022-09-19,Container,20.0,1.0,25,8,1.0,Red B,dyes,42480.0,829500.0,19.35,821988.0000000001,7511.999999999884,Facility,95000.0,2022-09-12 00:00:00,3592.15,8906.5,7207.6,3475.0,10138.59,589.5,19.0,11200.5,1780.0,141300.34,B&G,زراعة-مخابرات,2.0,700.0,7.0,8650,150650.34,Sea,Alexandria,CIF,9,2022,1,1,0,0,0,0,0
3,1310,2023-11-04,9/546,343105,2022-09-17,kg,15.625,5965.74,1310,Shirt,India,Cairo Airport,air,Asia,2023-04-11,2023-07-13,2023-04-30,2023-05-01,9,3944,7.666666666666667,960.0,53974.17,343105,B&E International Ltd,15500.0,14500,kg,سماح مؤقت,Israel,Ashdod,2022-09-08,2022-09-17,2022-09-28,Container,20.0,1.0,20,11,1.0,Red B,dyes,27375.0,540700.0,19.46,532717.5,7982.5,Facility,65000.0,2022-09-17 00:00:00,4398.7,6018.5,7085.0,4025.0,6972.24,793.1,19.0,15068.9,645.0,109213.34,B&G,زراعة-مخابرات,2.0,4310.0,2.0,8700,122223.34,Sea,Alexandria,CIF,9,2022,1,1,0,0,0,0,0
4,1310,2023-11-04,9/546,345355,2022-09-19,kg,8.985,56024.6,1310,Shirt,India,Cairo Airport,air,Asia,2023-04-11,2023-07-13,2023-04-30,2023-05-01,9,3944,7.666666666666667,960.0,53974.17,345355,Rudolf,25397.6,196,barrel,سماح مؤقت,Germany,Hamburg,2022-09-16,2022-09-19,2022-09-28,Container,40.0,1.0,12,9,1.0,Red B,dyes,82994.99,1633500.0,19.5,1618402.305,15097.69499999983,Facility,180000.0,2022-09-19 00:00:00,6011.8,16446.5,13106.0,3125.0,5026.0,0.0,19.0,0.0,7125.0,230840.3,MSC,زراعة-مخابرات,2.0,700.0,1.0,8600,240140.3,Sea,Alexandria,CIF,9,2022,1,1,0,0,0,0,0
5,1527,2023-04-30,9/546,179982,2022-05-15,kg,11.32,12706.5,1527,Shirt,Spain,Cairo Airport,air,Europe,2023-04-30,2023-04-30,2023-04-30,2023-04-30,1,41715,2.296,5660.0,95777.64000000001,179982,Rossari Biotech Limted,15316.7,14400,kg,سماح مؤقت,India,India,2022-05-07,2022-05-15,2022-05-21,Container,20.0,1.0,14,6,1.0,Red,dyes,44641.0,800000.0,17.0,758897.0,41103.0,Facility,70000.0,2022-05-16 00:00:00,3393.65,8578.7,941.0,2325.0,5637.63,605.0,18.0,10890.0,431.0,102196.98,MSC,مخدرات- كيمياء,2.0,4075.0,7.0,8500,114771.98,Sea,Ain Sokhna,CIF,5,2022,0,0,1,0,0,1,0
6,1527,2023-04-30,9/546,331874,2022-08-09,kg,33.96,11300.62,1527,Shirt,Spain,Cairo Airport,air,Europe,2023-04-30,2023-04-30,2023-04-30,2023-04-30,1,41715,2.296,5660.0,95777.64000000001,331874,Rossari Biotech Limted,14256.0,13500,kg,سماح مؤقت,India,India,2022-09-06,2022-09-08,2022-09-26,Container,20.0,1.0,20,18,1.0,Red,dyes,23625.0,465525.144,19.3184,456397.2,9127.94399999996,Facility,60000.0,2022-09-18 00:00:00,257.1,5235.25,16381.3024,2075.0,11254.0,0.0,19.0,0.0,1285.0,96487.65239999999,MSC,مخابرات -  زراعة-  كيمياء- مفرقعات,4.0,3205.0,10.0,8300,107992.6524,Sea,Ain Sokhna,CIF,9,2022,1,1,1,1,0,0,0
7,1527,2023-04-30,9/546,334149,2022-11-09,kg,42.45,18000.0,1527,Shirt,Spain,Cairo Airport,air,Europe,2023-04-30,2023-04-30,2023-04-30,2023-04-30,1,41715,2.296,5660.0,95777.64000000001,334149,Avco,19080.0,18000,kg,سماح مؤقت,Israel,Ashdod,2022-08-25,2022-09-11,2022-09-19,Container,20.0,1.0,25,8,1.0,Red B,dyes,42480.0,829500.0,19.35,821988.0000000001,7511.999999999884,Facility,95000.0,2022-09-12 00:00:00,3592.15,8906.5,7207.6,3475.0,10138.59,589.5,19.0,11200.5,1780.0,141300.34,B&G,زراعة-مخابرات,2.0,700.0,7.0,8650,150650.34,Sea,Alexandria,CIF,9,2022,1,1,0,0,0,0,0
8,1527,2023-04-30,9/546,343105,2022-09-17,kg,141.5,2982.87,1527,Shirt,Spain,Cairo Airport,air,Europe,2023-04-30,2023-04-30,2023-04-30,2023-04-30,1,41715,2.296,5660.0,95777.64000000001,343105,B&E International Ltd,15500.0,14500,kg,سماح مؤقت,Israel,Ashdod,2022-09-08,2022-09-17,2022-09-28,Container,20.0,1.0,20,11,1.0,Red B,dyes,27375.0,540700.0,19.46,532717.5,7982.5,Facility,65000.0,2022-09-17 00:00:00,4398.7,6018.5,7085.0,4025.0,6972.24,793.1,19.0,15068.9,645.0,109213.34,B&G,زراعة-مخابرات,2.0,4310.0,2.0,8700,122223.34,Sea,Alexandria,CIF,9,2022,1,1,0,0,0,0,0
9,1527,2023-04-30,9/546,345355,2022-09-19,kg,70.75,20999.81,1527,Shirt,Spain,Cairo Airport,air,Europe,2023-04-30,2023-04-30,2023-04-30,2023-04-30,1,41715,2.296,5660.0,95777.64000000001,345355,Rudolf,25397.6,196,barrel,سماح مؤقت,Germany,Hamburg,2022-09-16,2022-09-19,2022-09-28,Container,40.0,1.0,12,9,1.0,Red B,dyes,82994.99,1633500.0,19.5,1618402.305,15097.69499999983,Facility,180000.0,2022-09-19 00:00:00,6011.8,16446.5,13106.0,3125.0,5026.0,0.0,19.0,0.0,7125.0,230840.3,MSC,زراعة-مخابرات,2.0,700.0,1.0,8600,240140.3,Sea,Alexandria,CIF,9,2022,1,1,0,0,0,0,0
