Full-Stack,Front-End,Back-End,Other-Development,Other-Tech,Creative-Design,Business-Marketing,Other-Occupation,portfolio,certifs,video,testims,jobs,hour_rate_clean,success_rate,rate_cat,hours_per_week,hours,earnings,num-occups,country,embedding_pca
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,30.0,1.0,3.0,2.0,2126.0,85000.0,2.0,0.0,1.527585814570888
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,15.0,0.9,0.0,1.0,167.0,3600.0,2.0,0.0,-1.2503907011865911
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.0,25.5,1.0,2.0,2.0,143.0,5900.0,2.0,0.0,0.053374522640175
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,35.0,0.89,0.0,1.0,51.42857142857143,1800.0,1.0,0.0,0.4681106252742536
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,13.0,22.0,1.0,2.0,2.0,178.0,286.0,2.0,0.0,-0.39037342342706
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,30.0,1.0,3.0,1.0,2867.0,62000.0,2.0,0.0,1.0665272905403875
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,23.0,25.0,0.75,0.0,1.0,157.0,6600.0,2.0,0.0,-2.733115224117462
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,40.0,0.861166666666667,0.0,2.0,351.0,7900.0,1.0,0.0,-0.4642576934906569
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,15.0,0.9316666666666668,0.0,1.0,46.0,1100.0,1.0,0.0,0.181484451996093
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,30.0,0.96,2.0,1.0,63.333333333333336,1900.0,2.0,0.0,1.8715409176077975
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,80.0,30.0,0.99,3.0,2.0,3522.0,82000.0,1.0,0.0,2.052844756793399
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,0.8713333333333335,0.0,1.0,136.0,20.0,2.0,0.0,-0.8330593372666822
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,0.8945,0.0,2.0,25.0,500.0,1.0,0.0,1.7797433863216396
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,141.0,40.0,1.0,3.0,2.0,5838.0,5640.0,1.0,0.0,-0.1195072935708742
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,5.0,1.0,0.0,2.0,7.0,829.0,1.0,0.0,1.93285698394027
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,40.0,0.7954999999999999,0.0,1.0,20.0,80.0,1.0,0.0,0.731025650358533
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.9605,1.0,0.0,41.0,1000.0,1.0,0.0,2.013353826830332
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,40.0,1.0,3.0,2.0,2634.0,79000.0,2.0,0.0,1.2957442189795028
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,0.9726666666666668,1.0,1.0,48.0,536.0,1.0,0.0,1.39792979021131
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,10.0,1.0,0.0,2.0,15.0,488.0,1.0,0.0,1.5728627660936023
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,105.0,40.0,1.0,2.0,2.0,3052.0,92000.0,2.0,0.0,-0.0200411051627572
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,337.0,50.0,0.99,3.0,1.0,2356.0,16850.0,1.0,0.0,-2.3272380911905963
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,18.0,1.0,1.0,1.0,275.0,108.0,2.0,0.0,-2.391331164485166
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,30.0,0.93,1.0,0.0,2.7666666666666666,83.0,2.0,0.0,0.6683452142259105
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,90.0,6.0,1.0,2.0,1.0,2882.0,540.0,1.0,0.0,-1.984184366910885
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,25.0,0.9521666666666668,0.0,1.0,46.0,2200.0,1.0,0.0,2.500993732503122
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,14.0,0.8841666666666668,0.0,2.0,0.0,723.0,1.0,0.0,1.1152818535598017
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,30.0,1.0,2.0,2.0,1433.3333333333333,43000.0,1.0,0.0,3.517109550012165
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,15.0,0.9143333333333332,0.0,1.0,2.0,579.0,1.0,0.0,0.1630308067234367
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,40.0,40.0,1.0,2.0,2.0,772.0,32000.0,1.0,0.0,-1.4634088148353086
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0,0.8349999999999996,0.0,1.0,43.0,229.0,2.0,0.0,3.6073884970349672
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,15.0,1.0,2.0,1.0,584.0,11000.0,2.0,0.0,0.0381314954194274
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,18.0,0.97,2.0,1.0,1813.0,30000.0,2.0,0.0,0.5571051312302373
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,108.0,45.0,1.0,2.0,2.0,374.0,19000.0,2.0,0.0,0.1653307919625469
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,20.0,1.0,2.0,1.0,40.0,1200.0,1.0,0.0,1.4412732099975187
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,25.0,45.0,0.93,2.0,0.0,343.0,18000.0,2.0,0.0,3.659056545134901
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,0.8323333333333335,0.0,2.0,14.0,292.0,1.0,0.0,-1.8750771156825128
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,25.0,1.0,2.0,1.0,2227.0,42000.0,1.0,0.0,0.8845307192889538
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,20.0,0.824,0.0,1.0,17.0,354.0,1.0,0.0,-2.312979232349031
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,15.0,1.0,2.0,1.0,93.33333333333331,1400.0,2.0,0.0,-0.1665249681890699
